======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: C:\Users\ATIL\PycharmProjects\Thesis02wDL\confFiles\conf6.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.07.31 02:46:16 =======================================
Parameters: inputFolder : C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
sampRate : 8
featureMode : FrMgPh
channelMode : 1
classificationMode : Posture3
trainingEpoch : 300
stepSize : 1
batchSize : 512
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
Initial Scan.
Shuffling...
Reading:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Generating Labels...
3044 Files with 3 Label(s): ['03', '02', '01'].
Padding:....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................

Total of 3044 inputs loaded @ C:/Users/ATIL/Desktop/Dataset/inputsFrom_max_sample_set/
Total of 3 classes
2435 steps for training, 609 steps for test
Splitting Train and Test Data...
------Model for FrMgPh------
---LSTM Classifier---
Train Batch: (2435, 7991, 42)
Test Batch: (609, 7991, 42)
Optimizer: <keras.optimizers.Adam object at 0x000001D586684E10>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001D583F56048>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 166, 8)            16136     
_________________________________________________________________
activation_1 (Activation)    (None, 166, 8)            0         
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 6, 16)             3088      
_________________________________________________________________
activation_2 (Activation)    (None, 6, 16)             0         
_________________________________________________________________
lstm_1 (LSTM)                (None, 6, 24)             3936      
_________________________________________________________________
lstm_2 (LSTM)                (None, 12)                1776      
_________________________________________________________________
dense_1 (Dense)              (None, 3)                 39        
=================================================================
Total params: 24,975
Trainable params: 24,975
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:1.1026, Accuracy:0.3704, Validation Loss:1.0876, Validation Accuracy:0.3727
Epoch #26: Loss:1.0735, Accuracy:0.3930, Validation Loss:1.0736, Validation Accuracy:0.3974
Epoch #27: Loss:1.0734, Accuracy:0.3918, Validation Loss:1.0736, Validation Accuracy:0.3777
Epoch #28: Loss:1.0732, Accuracy:0.4033, Validation Loss:1.0735, Validation Accuracy:0.3924
Epoch #29: Loss:1.0732, Accuracy:0.3988, Validation Loss:1.0742, Validation Accuracy:0.3859
Epoch #30: Loss:1.0731, Accuracy:0.3967, Validation Loss:1.0738, Validation Accuracy:0.4007
Epoch #31: Loss:1.0731, Accuracy:0.3992, Validation Loss:1.0734, Validation Accuracy:0.4056
Epoch #32: Loss:1.0727, Accuracy:0.3988, Validation Loss:1.0734, Validation Accuracy:0.3875
Epoch #33: Loss:1.0730, Accuracy:0.3971, Validation Loss:1.0735, Validation Accuracy:0.4007
Epoch #34: Loss:1.0725, Accuracy:0.4012, Validation Loss:1.0734, Validation Accuracy:0.3974
Epoch #35: Loss:1.0738, Accuracy:0.4049, Validation Loss:1.0735, Validation Accuracy:0.3826
Epoch #36: Loss:1.0730, Accuracy:0.3943, Validation Loss:1.0733, Validation Accuracy:0.4039
Epoch #37: Loss:1.0727, Accuracy:0.3971, Validation Loss:1.0730, Validation Accuracy:0.4039
Epoch #38: Loss:1.0727, Accuracy:0.3979, Validation Loss:1.0736, Validation Accuracy:0.4039
Epoch #39: Loss:1.0726, Accuracy:0.3984, Validation Loss:1.0735, Validation Accuracy:0.3990
Epoch #40: Loss:1.0724, Accuracy:0.4004, Validation Loss:1.0736, Validation Accuracy:0.3941
Epoch #41: Loss:1.0723, Accuracy:0.4041, Validation Loss:1.0733, Validation Accuracy:0.3974
Epoch #42: Loss:1.0722, Accuracy:0.3984, Validation Loss:1.0729, Validation Accuracy:0.4023
Epoch #43: Loss:1.0720, Accuracy:0.4016, Validation Loss:1.0734, Validation Accuracy:0.3990
Epoch #44: Loss:1.0717, Accuracy:0.4025, Validation Loss:1.0734, Validation Accuracy:0.3974
Epoch #45: Loss:1.0719, Accuracy:0.3992, Validation Loss:1.0734, Validation Accuracy:0.3875
Epoch #46: Loss:1.0715, Accuracy:0.4070, Validation Loss:1.0734, Validation Accuracy:0.3974
Epoch #47: Loss:1.0712, Accuracy:0.4090, Validation Loss:1.0734, Validation Accuracy:0.3924
Epoch #48: Loss:1.0711, Accuracy:0.4119, Validation Loss:1.0735, Validation Accuracy:0.3859
Epoch #49: Loss:1.0712, Accuracy:0.4062, Validation Loss:1.0739, Validation Accuracy:0.3892
Epoch #50: Loss:1.0710, Accuracy:0.4107, Validation Loss:1.0745, Validation Accuracy:0.3727
Epoch #51: Loss:1.0711, Accuracy:0.4090, Validation Loss:1.0740, Validation Accuracy:0.3941
Epoch #52: Loss:1.0709, Accuracy:0.4029, Validation Loss:1.0742, Validation Accuracy:0.3892
Epoch #53: Loss:1.0705, Accuracy:0.4062, Validation Loss:1.0755, Validation Accuracy:0.3793
Epoch #54: Loss:1.0713, Accuracy:0.4041, Validation Loss:1.0761, Validation Accuracy:0.3596
Epoch #55: Loss:1.0716, Accuracy:0.4012, Validation Loss:1.0760, Validation Accuracy:0.3826
Epoch #56: Loss:1.0715, Accuracy:0.4041, Validation Loss:1.0757, Validation Accuracy:0.3859
Epoch #57: Loss:1.0715, Accuracy:0.4049, Validation Loss:1.0766, Validation Accuracy:0.3695
Epoch #58: Loss:1.0722, Accuracy:0.4107, Validation Loss:1.0820, Validation Accuracy:0.3744
Epoch #59: Loss:1.0751, Accuracy:0.3967, Validation Loss:1.0812, Validation Accuracy:0.3711
Epoch #60: Loss:1.0731, Accuracy:0.4099, Validation Loss:1.0750, Validation Accuracy:0.3744
Epoch #61: Loss:1.0700, Accuracy:0.4127, Validation Loss:1.0758, Validation Accuracy:0.3957
Epoch #62: Loss:1.0730, Accuracy:0.3979, Validation Loss:1.0747, Validation Accuracy:0.3892
Epoch #63: Loss:1.0714, Accuracy:0.4066, Validation Loss:1.0765, Validation Accuracy:0.3810
Epoch #64: Loss:1.0731, Accuracy:0.4131, Validation Loss:1.0769, Validation Accuracy:0.3760
Epoch #65: Loss:1.0717, Accuracy:0.4094, Validation Loss:1.0766, Validation Accuracy:0.3695
Epoch #66: Loss:1.0727, Accuracy:0.4000, Validation Loss:1.0775, Validation Accuracy:0.3695
Epoch #67: Loss:1.0718, Accuracy:0.4025, Validation Loss:1.0773, Validation Accuracy:0.3777
Epoch #68: Loss:1.0725, Accuracy:0.4041, Validation Loss:1.0771, Validation Accuracy:0.3842
Epoch #69: Loss:1.0727, Accuracy:0.4021, Validation Loss:1.0772, Validation Accuracy:0.3695
Epoch #70: Loss:1.0725, Accuracy:0.4008, Validation Loss:1.0771, Validation Accuracy:0.3744
Epoch #71: Loss:1.0722, Accuracy:0.4099, Validation Loss:1.0773, Validation Accuracy:0.3727
Epoch #72: Loss:1.0744, Accuracy:0.4025, Validation Loss:1.0827, Validation Accuracy:0.3810
Epoch #73: Loss:1.0753, Accuracy:0.3959, Validation Loss:1.0793, Validation Accuracy:0.3563
Epoch #74: Loss:1.0747, Accuracy:0.3938, Validation Loss:1.0797, Validation Accuracy:0.3481
Epoch #75: Loss:1.0736, Accuracy:0.4074, Validation Loss:1.0776, Validation Accuracy:0.3596
Epoch #76: Loss:1.0739, Accuracy:0.4025, Validation Loss:1.0777, Validation Accuracy:0.3695
Epoch #77: Loss:1.0736, Accuracy:0.4016, Validation Loss:1.0772, Validation Accuracy:0.3695
Epoch #78: Loss:1.0733, Accuracy:0.3996, Validation Loss:1.0764, Validation Accuracy:0.3810
Epoch #79: Loss:1.0732, Accuracy:0.4012, Validation Loss:1.0762, Validation Accuracy:0.3711
Epoch #80: Loss:1.0732, Accuracy:0.4016, Validation Loss:1.0760, Validation Accuracy:0.3810
Epoch #81: Loss:1.0732, Accuracy:0.3996, Validation Loss:1.0757, Validation Accuracy:0.3793
Epoch #82: Loss:1.0731, Accuracy:0.3992, Validation Loss:1.0757, Validation Accuracy:0.3793
Epoch #83: Loss:1.0730, Accuracy:0.4000, Validation Loss:1.0757, Validation Accuracy:0.3793
Epoch #84: Loss:1.0730, Accuracy:0.4004, Validation Loss:1.0756, Validation Accuracy:0.3793
Epoch #85: Loss:1.0730, Accuracy:0.4012, Validation Loss:1.0756, Validation Accuracy:0.3810
Epoch #86: Loss:1.0730, Accuracy:0.4029, Validation Loss:1.0756, Validation Accuracy:0.3711
Epoch #87: Loss:1.0729, Accuracy:0.4045, Validation Loss:1.0755, Validation Accuracy:0.3711
Epoch #88: Loss:1.0728, Accuracy:0.4045, Validation Loss:1.0754, Validation Accuracy:0.3711
Epoch #89: Loss:1.0728, Accuracy:0.4037, Validation Loss:1.0754, Validation Accuracy:0.3810
Epoch #90: Loss:1.0728, Accuracy:0.4008, Validation Loss:1.0754, Validation Accuracy:0.3711
Epoch #91: Loss:1.0728, Accuracy:0.4086, Validation Loss:1.0755, Validation Accuracy:0.3645
Epoch #92: Loss:1.0731, Accuracy:0.4025, Validation Loss:1.0755, Validation Accuracy:0.3810
Epoch #93: Loss:1.0727, Accuracy:0.4016, Validation Loss:1.0755, Validation Accuracy:0.3645
Epoch #94: Loss:1.0727, Accuracy:0.4057, Validation Loss:1.0756, Validation Accuracy:0.3645
Epoch #95: Loss:1.0727, Accuracy:0.4057, Validation Loss:1.0756, Validation Accuracy:0.3645
Epoch #96: Loss:1.0726, Accuracy:0.4057, Validation Loss:1.0756, Validation Accuracy:0.3645
Epoch #97: Loss:1.0725, Accuracy:0.4057, Validation Loss:1.0757, Validation Accuracy:0.3645
Epoch #98: Loss:1.0726, Accuracy:0.4057, Validation Loss:1.0757, Validation Accuracy:0.3645
Epoch #99: Loss:1.0725, Accuracy:0.4057, Validation Loss:1.0757, Validation Accuracy:0.3645
Epoch #100: Loss:1.0726, Accuracy:0.4057, Validation Loss:1.0758, Validation Accuracy:0.3645
Epoch #101: Loss:1.0725, Accuracy:0.4057, Validation Loss:1.0760, Validation Accuracy:0.3645
Epoch #102: Loss:1.0726, Accuracy:0.4057, Validation Loss:1.0759, Validation Accuracy:0.3645
Epoch #103: Loss:1.0724, Accuracy:0.4037, Validation Loss:1.0760, Validation Accuracy:0.3760
Epoch #104: Loss:1.0725, Accuracy:0.4025, Validation Loss:1.0760, Validation Accuracy:0.3744
Epoch #105: Loss:1.0724, Accuracy:0.4037, Validation Loss:1.0760, Validation Accuracy:0.3645
Epoch #106: Loss:1.0726, Accuracy:0.4029, Validation Loss:1.0761, Validation Accuracy:0.3744
Epoch #107: Loss:1.0725, Accuracy:0.4049, Validation Loss:1.0763, Validation Accuracy:0.3645
Epoch #108: Loss:1.0724, Accuracy:0.4057, Validation Loss:1.0762, Validation Accuracy:0.3645
Epoch #109: Loss:1.0723, Accuracy:0.4041, Validation Loss:1.0762, Validation Accuracy:0.3760
Epoch #110: Loss:1.0724, Accuracy:0.4016, Validation Loss:1.0762, Validation Accuracy:0.3744
Epoch #111: Loss:1.0722, Accuracy:0.4025, Validation Loss:1.0763, Validation Accuracy:0.3744
Epoch #112: Loss:1.0722, Accuracy:0.4041, Validation Loss:1.0763, Validation Accuracy:0.3645
Epoch #113: Loss:1.0724, Accuracy:0.4057, Validation Loss:1.0764, Validation Accuracy:0.3645
Epoch #114: Loss:1.0722, Accuracy:0.4057, Validation Loss:1.0763, Validation Accuracy:0.3645
Epoch #115: Loss:1.0722, Accuracy:0.4041, Validation Loss:1.0764, Validation Accuracy:0.3760
Epoch #116: Loss:1.0723, Accuracy:0.4016, Validation Loss:1.0762, Validation Accuracy:0.3744
Epoch #117: Loss:1.0721, Accuracy:0.4033, Validation Loss:1.0764, Validation Accuracy:0.3645
Epoch #118: Loss:1.0721, Accuracy:0.4057, Validation Loss:1.0764, Validation Accuracy:0.3645
Epoch #119: Loss:1.0722, Accuracy:0.4057, Validation Loss:1.0764, Validation Accuracy:0.3645
Epoch #120: Loss:1.0722, Accuracy:0.4049, Validation Loss:1.0764, Validation Accuracy:0.3744
Epoch #121: Loss:1.0722, Accuracy:0.4021, Validation Loss:1.0764, Validation Accuracy:0.3744
Epoch #122: Loss:1.0721, Accuracy:0.4041, Validation Loss:1.0766, Validation Accuracy:0.3645
Epoch #123: Loss:1.0722, Accuracy:0.4057, Validation Loss:1.0762, Validation Accuracy:0.3744
Epoch #124: Loss:1.0722, Accuracy:0.4025, Validation Loss:1.0760, Validation Accuracy:0.3744
Epoch #125: Loss:1.0727, Accuracy:0.4016, Validation Loss:1.0764, Validation Accuracy:0.3744
Epoch #126: Loss:1.0721, Accuracy:0.4025, Validation Loss:1.0764, Validation Accuracy:0.3678
Epoch #127: Loss:1.0720, Accuracy:0.4045, Validation Loss:1.0762, Validation Accuracy:0.3727
Epoch #128: Loss:1.0720, Accuracy:0.4029, Validation Loss:1.0764, Validation Accuracy:0.3727
Epoch #129: Loss:1.0718, Accuracy:0.4029, Validation Loss:1.0764, Validation Accuracy:0.3711
Epoch #130: Loss:1.0718, Accuracy:0.4021, Validation Loss:1.0765, Validation Accuracy:0.3760
Epoch #131: Loss:1.0719, Accuracy:0.4029, Validation Loss:1.0763, Validation Accuracy:0.3760
Epoch #132: Loss:1.0720, Accuracy:0.4012, Validation Loss:1.0766, Validation Accuracy:0.3727
Epoch #133: Loss:1.0720, Accuracy:0.4029, Validation Loss:1.0765, Validation Accuracy:0.3760
Epoch #134: Loss:1.0722, Accuracy:0.3979, Validation Loss:1.0764, Validation Accuracy:0.3744
Epoch #135: Loss:1.0722, Accuracy:0.4033, Validation Loss:1.0763, Validation Accuracy:0.3760
Epoch #136: Loss:1.0719, Accuracy:0.4029, Validation Loss:1.0763, Validation Accuracy:0.3760
Epoch #137: Loss:1.0718, Accuracy:0.4029, Validation Loss:1.0762, Validation Accuracy:0.3760
Epoch #138: Loss:1.0720, Accuracy:0.4016, Validation Loss:1.0764, Validation Accuracy:0.3727
Epoch #139: Loss:1.0720, Accuracy:0.4033, Validation Loss:1.0762, Validation Accuracy:0.3760
Epoch #140: Loss:1.0718, Accuracy:0.4021, Validation Loss:1.0763, Validation Accuracy:0.3793
Epoch #141: Loss:1.0717, Accuracy:0.4025, Validation Loss:1.0765, Validation Accuracy:0.3760
Epoch #142: Loss:1.0718, Accuracy:0.4012, Validation Loss:1.0767, Validation Accuracy:0.3744
Epoch #143: Loss:1.0721, Accuracy:0.4016, Validation Loss:1.0769, Validation Accuracy:0.3727
Epoch #144: Loss:1.0719, Accuracy:0.3967, Validation Loss:1.0772, Validation Accuracy:0.3580
Epoch #145: Loss:1.0717, Accuracy:0.4008, Validation Loss:1.0769, Validation Accuracy:0.3727
Epoch #146: Loss:1.0718, Accuracy:0.4008, Validation Loss:1.0769, Validation Accuracy:0.3760
Epoch #147: Loss:1.0717, Accuracy:0.4004, Validation Loss:1.0769, Validation Accuracy:0.3662
Epoch #148: Loss:1.0715, Accuracy:0.4004, Validation Loss:1.0769, Validation Accuracy:0.3760
Epoch #149: Loss:1.0716, Accuracy:0.4008, Validation Loss:1.0768, Validation Accuracy:0.3744
Epoch #150: Loss:1.0716, Accuracy:0.4016, Validation Loss:1.0769, Validation Accuracy:0.3777
Epoch #151: Loss:1.0716, Accuracy:0.4008, Validation Loss:1.0768, Validation Accuracy:0.3777
Epoch #152: Loss:1.0715, Accuracy:0.3984, Validation Loss:1.0770, Validation Accuracy:0.3662
Epoch #153: Loss:1.0715, Accuracy:0.4025, Validation Loss:1.0768, Validation Accuracy:0.3744
Epoch #154: Loss:1.0715, Accuracy:0.4008, Validation Loss:1.0769, Validation Accuracy:0.3760
Epoch #155: Loss:1.0715, Accuracy:0.4004, Validation Loss:1.0769, Validation Accuracy:0.3777
Epoch #156: Loss:1.0714, Accuracy:0.4012, Validation Loss:1.0771, Validation Accuracy:0.3777
Epoch #157: Loss:1.0716, Accuracy:0.3975, Validation Loss:1.0771, Validation Accuracy:0.3760
Epoch #158: Loss:1.0715, Accuracy:0.4004, Validation Loss:1.0777, Validation Accuracy:0.3760
Epoch #159: Loss:1.0714, Accuracy:0.3992, Validation Loss:1.0776, Validation Accuracy:0.3662
Epoch #160: Loss:1.0714, Accuracy:0.3988, Validation Loss:1.0775, Validation Accuracy:0.3695
Epoch #161: Loss:1.0714, Accuracy:0.4000, Validation Loss:1.0775, Validation Accuracy:0.3695
Epoch #162: Loss:1.0714, Accuracy:0.4012, Validation Loss:1.0773, Validation Accuracy:0.3760
Epoch #163: Loss:1.0715, Accuracy:0.4004, Validation Loss:1.0774, Validation Accuracy:0.3760
Epoch #164: Loss:1.0713, Accuracy:0.4004, Validation Loss:1.0775, Validation Accuracy:0.3760
Epoch #165: Loss:1.0712, Accuracy:0.3959, Validation Loss:1.0775, Validation Accuracy:0.3662
Epoch #166: Loss:1.0712, Accuracy:0.4033, Validation Loss:1.0776, Validation Accuracy:0.3760
Epoch #167: Loss:1.0711, Accuracy:0.3971, Validation Loss:1.0776, Validation Accuracy:0.3678
Epoch #168: Loss:1.0711, Accuracy:0.3959, Validation Loss:1.0776, Validation Accuracy:0.3760
Epoch #169: Loss:1.0713, Accuracy:0.4004, Validation Loss:1.0778, Validation Accuracy:0.3760
Epoch #170: Loss:1.0713, Accuracy:0.4004, Validation Loss:1.0780, Validation Accuracy:0.3760
Epoch #171: Loss:1.0710, Accuracy:0.4004, Validation Loss:1.0780, Validation Accuracy:0.3760
Epoch #172: Loss:1.0711, Accuracy:0.4021, Validation Loss:1.0782, Validation Accuracy:0.3760
Epoch #173: Loss:1.0710, Accuracy:0.3984, Validation Loss:1.0784, Validation Accuracy:0.3678
Epoch #174: Loss:1.0711, Accuracy:0.3967, Validation Loss:1.0780, Validation Accuracy:0.3760
Epoch #175: Loss:1.0714, Accuracy:0.4066, Validation Loss:1.0779, Validation Accuracy:0.3662
Epoch #176: Loss:1.0708, Accuracy:0.3992, Validation Loss:1.0779, Validation Accuracy:0.3760
Epoch #177: Loss:1.0710, Accuracy:0.4016, Validation Loss:1.0783, Validation Accuracy:0.3760
Epoch #178: Loss:1.0708, Accuracy:0.4004, Validation Loss:1.0781, Validation Accuracy:0.3760
Epoch #179: Loss:1.0710, Accuracy:0.4016, Validation Loss:1.0785, Validation Accuracy:0.3563
Epoch #180: Loss:1.0708, Accuracy:0.4016, Validation Loss:1.0782, Validation Accuracy:0.3760
Epoch #181: Loss:1.0712, Accuracy:0.4004, Validation Loss:1.0788, Validation Accuracy:0.3760
Epoch #182: Loss:1.0712, Accuracy:0.3955, Validation Loss:1.0787, Validation Accuracy:0.3563
Epoch #183: Loss:1.0708, Accuracy:0.4037, Validation Loss:1.0784, Validation Accuracy:0.3744
Epoch #184: Loss:1.0709, Accuracy:0.4004, Validation Loss:1.0783, Validation Accuracy:0.3760
Epoch #185: Loss:1.0708, Accuracy:0.3996, Validation Loss:1.0783, Validation Accuracy:0.3760
Epoch #186: Loss:1.0706, Accuracy:0.4004, Validation Loss:1.0785, Validation Accuracy:0.3760
Epoch #187: Loss:1.0705, Accuracy:0.4004, Validation Loss:1.0786, Validation Accuracy:0.3760
Epoch #188: Loss:1.0706, Accuracy:0.4016, Validation Loss:1.0789, Validation Accuracy:0.3744
Epoch #189: Loss:1.0704, Accuracy:0.4045, Validation Loss:1.0789, Validation Accuracy:0.3760
Epoch #190: Loss:1.0706, Accuracy:0.4004, Validation Loss:1.0788, Validation Accuracy:0.3760
Epoch #191: Loss:1.0704, Accuracy:0.4004, Validation Loss:1.0788, Validation Accuracy:0.3760
Epoch #192: Loss:1.0704, Accuracy:0.4008, Validation Loss:1.0790, Validation Accuracy:0.3760
Epoch #193: Loss:1.0704, Accuracy:0.4000, Validation Loss:1.0792, Validation Accuracy:0.3760
Epoch #194: Loss:1.0701, Accuracy:0.4004, Validation Loss:1.0791, Validation Accuracy:0.3777
Epoch #195: Loss:1.0703, Accuracy:0.4012, Validation Loss:1.0793, Validation Accuracy:0.3760
Epoch #196: Loss:1.0713, Accuracy:0.4000, Validation Loss:1.0798, Validation Accuracy:0.3760
Epoch #197: Loss:1.0702, Accuracy:0.4004, Validation Loss:1.0792, Validation Accuracy:0.3744
Epoch #198: Loss:1.0701, Accuracy:0.4016, Validation Loss:1.0788, Validation Accuracy:0.3760
Epoch #199: Loss:1.0700, Accuracy:0.4004, Validation Loss:1.0791, Validation Accuracy:0.3760
Epoch #200: Loss:1.0699, Accuracy:0.4004, Validation Loss:1.0793, Validation Accuracy:0.3760
Epoch #201: Loss:1.0698, Accuracy:0.4012, Validation Loss:1.0793, Validation Accuracy:0.3760
Epoch #202: Loss:1.0702, Accuracy:0.4029, Validation Loss:1.0788, Validation Accuracy:0.3842
Epoch #203: Loss:1.0702, Accuracy:0.4033, Validation Loss:1.0796, Validation Accuracy:0.3793
Epoch #204: Loss:1.0696, Accuracy:0.4045, Validation Loss:1.0780, Validation Accuracy:0.3777
Epoch #205: Loss:1.0699, Accuracy:0.4008, Validation Loss:1.0782, Validation Accuracy:0.3760
Epoch #206: Loss:1.0702, Accuracy:0.4045, Validation Loss:1.0784, Validation Accuracy:0.3760
Epoch #207: Loss:1.0703, Accuracy:0.4029, Validation Loss:1.0772, Validation Accuracy:0.3744
Epoch #208: Loss:1.0695, Accuracy:0.4037, Validation Loss:1.0776, Validation Accuracy:0.3793
Epoch #209: Loss:1.0693, Accuracy:0.4041, Validation Loss:1.0784, Validation Accuracy:0.3760
Epoch #210: Loss:1.0689, Accuracy:0.4094, Validation Loss:1.0789, Validation Accuracy:0.3777
Epoch #211: Loss:1.0690, Accuracy:0.4021, Validation Loss:1.0800, Validation Accuracy:0.3678
Epoch #212: Loss:1.0693, Accuracy:0.4012, Validation Loss:1.0803, Validation Accuracy:0.3695
Epoch #213: Loss:1.0686, Accuracy:0.4045, Validation Loss:1.0783, Validation Accuracy:0.3760
Epoch #214: Loss:1.0691, Accuracy:0.4045, Validation Loss:1.0782, Validation Accuracy:0.3662
Epoch #215: Loss:1.0682, Accuracy:0.4053, Validation Loss:1.0796, Validation Accuracy:0.3645
